asset_url,ext,bytes,content_type,used_on_pages
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1280x670_v-fms_webp_3eddc65c-a961-47e8-af41-e047889f08ee_small.webp,webp,23332,image/webp,/news | /news/category/activity-report | /news/category/all | /news/category/news | /news/media-nagasaki-np (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1280x670_v-fms_webp_42a8decd-389a-43dc-9aaa-1568b748315d_middle.webp,webp,35276,image/webp,/news/crowdfunding-success
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1280x670_v-fms_webp_42a8decd-389a-43dc-9aaa-1568b748315d_small.webp,webp,16832,image/webp,/news | /news/category/activity-report | /news/category/all | /news/category/news | /news/crowdfunding-success (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1280x670_v-fms_webp_7037d5eb-1ca9-4381-a0f4-420c9c513bc3_middle.webp,webp,54416,image/webp,/news/WCpgpgS6
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1280x670_v-fms_webp_7037d5eb-1ca9-4381-a0f4-420c9c513bc3_small.webp,webp,23898,image/webp,/ | /news | /news/WCpgpgS6 (sp) | /news/category/activity-report | /news/category/all | /news/category/news
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1280x670_v-fms_webp_cdd85c23-8e86-4623-87ef-a11a88f405df_middle.webp,webp,33310,image/webp,/news/enmaru-test-release
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1280x670_v-fms_webp_cdd85c23-8e86-4623-87ef-a11a88f405df_small.webp,webp,14806,image/webp,/ | /news | /news/category/all | /news/category/news | /news/enmaru-test-release (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1280x670_v-fms_webp_e4d06991-57fd-47c6-b480-b9903f17f912_middle.webp,webp,45864,image/webp,/news/award-grandprix
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1280x670_v-fms_webp_e4d06991-57fd-47c6-b480-b9903f17f912_small.webp,webp,20264,image/webp,/news | /news/award-grandprix (sp) | /news/category/activity-report | /news/category/all | /news/category/news
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1306x1235_v-fms_webp_4bdfccf1-cff2-438d-8add-09fffcbaf215_middle.webp,webp,199474,image/webp,/
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1306x1235_v-fms_webp_4bdfccf1-cff2-438d-8add-09fffcbaf215_small.webp,webp,76056,image/webp,/ (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-1536x1024_v-fms_webp_cc929308-250f-45cf-8c1e-c8825ed83a6c_middle.webp,webp,86226,image/webp,/
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-2000x1334_v-frms_webp_e4c2e32f-87c9-409b-be2d-0eb8e8014daa_regular.webp,webp,92506,image/webp,/
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-2016x1764_v-frms_webp_224417fd-6921-4e67-a0b7-dbd4cfbd62a4_small.webp,webp,7482,image/webp,/company | /company (sp) | /company/company | /company/company (sp) | /company/member | /company/member (sp) | /company/our_thoughts | /company/our_thoughts (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-2016x1764_v-frms_webp_6c62d67e-6064-4cb9-b211-88c9eb0fb10e_small.webp,webp,8750,image/webp,/company | /company (sp) | /company/company | /company/company (sp) | /company/member | /company/member (sp) | /company/our_thoughts | /company/our_thoughts (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-2048x1526_v-frms_webp_20a78b18-0373-484a-8a33-287d6aace2aa.jpg,jpg,695238,image/jpeg,/news/media-nagasaki-np | /news/media-nagasaki-np (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-2048x1526_v-frms_webp_20a78b18-0373-484a-8a33-287d6aace2aa_small.webp,webp,58304,image/webp,/news/media-nagasaki-np | /news/media-nagasaki-np (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-2391x1367_v-frms_webp_de3ebac4-304a-4fa7-9809-f87b6d9ec89d_middle.webp,webp,43466,image/webp,/
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-4744x3164_v-frms_webp_1e5a017d-e97e-4b33-a616-1e2f76d544ff_middle.webp,webp,66628,image/webp,/
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-48x54_webp_319fbea4-b8fb-4370-9871-7e7feb6dc157.webp,webp,433,image/webp,/ | /event | /news | /news/P6dUZAdF | /news/WCpgpgS6 | /news/award-grandprix | /news/category/activity-report | /news/category/all | /news/category/news | /news/category/other | /news/crowdfunding-success | /news/e4GJu5Ru | /news/enmaru-test-release | /news/first-release | /news/media-nagasaki-np | /news/p8LHv6pB | /privacy_policy | /site_policy
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-961x872_v-fs_webp_0fde4ff5-cbae-4c95-b8e5-517aa0407fae.jpg,jpg,256672,image/jpeg,/news/WCpgpgS6 | /news/WCpgpgS6 (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-961x872_v-fs_webp_0fde4ff5-cbae-4c95-b8e5-517aa0407fae_small.webp,webp,69618,image/webp,/news/WCpgpgS6 | /news/WCpgpgS6 (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-971x263_v-fs_webp_1aaf178d-68f2-4b33-a119-3048e6028a78_small.webp,webp,16984,image/webp,/ | / (sp) | /company | /company (sp) | /company/company | /company/company (sp) | /company/member | /company/member (sp) | /company/our_thoughts | /company/our_thoughts (sp) | /contact | /contact (sp) | /event | /event (sp) | /news | /news (sp) | /news/P6dUZAdF | /news/P6dUZAdF (sp) | /news/WCpgpgS6 | /news/WCpgpgS6 (sp) | /news/award-grandprix | /news/award-grandprix (sp) | /news/category/activity-report | /news/category/activity-report (sp) | /news/category/all | /news/category/all (sp) | /news/category/news | /news/category/news (sp) | /news/category/other | /news/category/other (sp) | /news/crowdfunding-success | /news/crowdfunding-success (sp) | /news/e4GJu5Ru | /news/e4GJu5Ru (sp) | /news/enmaru-test-release | /news/enmaru-test-release (sp) | /news/first-release | /news/first-release (sp) | /news/media-nagasaki-np | /news/media-nagasaki-np (sp) | /news/p8LHv6pB | /news/p8LHv6pB (sp) | /privacy_policy | /privacy_policy (sp) | /site_policy | /site_policy (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-971x263_v-fs_webp_30e2070d-b208-447f-8688-657c64e71e86_small.webp,webp,9806,image/webp,/ | / (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-994x1647_v-fms_webp_27955a94-2f4b-48dc-833f-0ae3e3d89feb.jpg,jpg,271189,image/jpeg,/news/crowdfunding-success | /news/crowdfunding-success (sp)
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-994x1647_v-fms_webp_27955a94-2f4b-48dc-833f-0ae3e3d89feb_middle.webp,webp,71344,image/webp,/news/crowdfunding-success
https://storage.googleapis.com/studio-design-asset-files/projects/bXqzew1ZOD/s-994x1647_v-fms_webp_27955a94-2f4b-48dc-833f-0ae3e3d89feb_small.webp,webp,31882,image/webp,/news/crowdfunding-success (sp)
